Date,SPY,NVDA,TSLA,AAPL,GOOGL,AMZN,META,TSM,INTC,MU,PYPL,PLTR,WDC
202504,-0.568818,0.507488,8.874826,-4.335306,2.808378,-3.069482,-4.662285,0.806919,-11.492729,-11.324447,0.904212,40.331754,8.483805
202505,6.284499,24.063550,22.788484,-5.482344,8.148610,11.164731,17.939897,15.975747,-2.736324,22.755045,6.743623,11.263083,17.533058
202506,4.828712,16.917041,-8.312645,2.284800,2.614428,7.014295,13.992505,17.158093,14.578008,30.478502,5.748437,3.445142,24.131914
202507,2.605593,12.590882,-2.955995,1.169768,9.023606,6.709513,4.870008,7.070272,-11.607145,-11.448266,-7.481155,16.160503,23.201468
202508,2.051954,-2.074552,8.304411,11.836968,10.948414,-2.182735,-4.491617,-4.449125,22.979805,9.146068,2.079684,-1.035680,2.096831
202509,3.275714,7.119078,33.201548,9.812610,14.179700,-4.117901,-0.584819,20.972850,37.782336,40.593228,-4.459329,16.406094,49.439884
202510,2.667587,8.533296,2.662349,6.181517,15.771909,11.226485,-11.655055,7.908537,19.195239,33.737747,3.295560,9.894750,25.258100
202511,0.195003,-12.588281,-5.780179,3.136442,13.866058,-4.504136,-0.061689,-2.969083,1.425356,5.746113,-9.499060,-15.972467,8.734422
202512,-0.215103,5.367244,4.544712,-2.412222,-2.242479,-1.029069,1.873595,4.246865,-9.023668,20.690978,-6.659816,5.520928,5.473590
202601,1.773619,2.488274,-4.293782,-4.553808,8.057851,3.673856,8.634337,9.069849,25.934957,45.421528,-9.746489,-17.530241,45.371330
202602,-0.864195,-7.293462,-6.482190,1.811308,-7.763309,-12.244046,-9.535246,13.316793,-1.850658,-0.604993,-12.298352,-6.412439,11.777165
202603,-5.196862,-1.574593,-7.642048,-3.843028,-7.762383,-0.823807,-11.732850,-9.778943,-3.244901,-18.073578,-2.120748,6.625845,-3.292815
202604,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000